Item name;Variations;Option set 1;Option 1;Option set 2;Option 2;Option set 3;Option 3;Option set 4;Option 4;Is variation visible? (Yes/No);Price;Cost price;Variable price? (Yes/No);Tax rate (%);On sale in Online Store?;Regular price (before sale);Set up different prices and VAT for takeaway;Takeaway price;Takeaway tax rate;Unit;Track inventory? (Yes/No);Quantity;Low stock threshold;SKU;Barcode;Modifiers;Description (Online Store and Invoices only);Category;Display item at Checkout? (Yes/No);Display colour in POS checkout;Image 1;Image 2;Image 3;Image 4;Image 5;Image 6;Image 7;Display item in Online Store? (Yes/No);SEO title (Online Store only);SEO description (Online Store only);Shipping weight [kg] (Online Store only);Display service in Bookings? (Yes/No);Duration [minutes] (Bookings only);Location [business/customer] (Bookings only);Item id (Do not change);Variant id (Do not change);
 Celimax Pore+dark spot cream;;;;;;;;;;Yes;21.99;;No;20.00;No;;No;;;each.each;Yes;3;2;;;;;CELIMAX;Yes;Yellow;https://images.sumup.com/img_5C4NNBV6XC96GSFV0HJMD3600W;;;;;;;Yes; Celimax Pore+dark spot cream;;;Yes;45;business;7d5d99dd-185f-4b87-bbf5-94666f1eb8bb;463d28e5-6fa9-468c-8445-e95223f46664;
 Dewap Cicatea pore et sebum cleanser;;;;;;;;;;Yes;18.50;;No;20.00;No;;No;;;each.each;Yes;5;0;;;;;Dewpad;Yes;Yellow;https://images.sumup.com/img_582B99GY5E9EESYYJD5Q2Z7MJJ;;;;;;;Yes; Dewap Cicatea pore et sebum cleanser;;;Yes;45;business;d0b99b25-f22a-4776-b56e-e228533bb749;677fb96a-76b6-4404-9bfc-bd01351e8ad2;
 Dr Althea Mask Aqua blue;;;;;;;;;;Yes;4.99;;No;20.00;No;;No;;;each.each;No;0;0;;;;;DR ALTHEA;Yes;Dark blue;https://images.sumup.com/img_2JEFJA1HK98WQTF94Y3FBZG695;;;;;;;Yes; Dr Althea Mask Aqua blue;;;Yes;45;business;033d8f20-7eb6-465e-bc55-eda546c605d1;b63f8fec-b9ba-4f07-9697-e31067f1e953;
 Farm stay Cica farm foam;;;;;;;;;;Yes;16.00;;No;20.00;No;;No;;;each.each;Yes;8;0;;;;;FARMSTAY;Yes;;https://images.sumup.com/img_2VRPD7ACZM96DTXMDV9Q2W5G2V;;;;;;;Yes; Farm stay Cica farm foam;;;Yes;45;business;79853e93-8d94-4ed2-a7ca-1a96317da837;426c3f1a-fe3c-40f8-af2d-94a01f707f55;
 Farm stay Shampooing black garlic;;;;;;;;;;Yes;14.50;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;FARMSTAY;Yes;Black;https://images.sumup.com/img_4B6DPAFG8Q87DA87JR6F2ETDJ8;;;;;;;Yes; Farm stay Shampooing black garlic;;;Yes;45;business;d81a939d-049b-4840-9aac-f781af81583c;2f55d183-fec6-4f33-a456-832bd8720804;
 Haruharu Essence ;;;;;;;;;;Yes;21.95;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;HARUHARU WONDER;Yes;Grey;https://images.sumup.com/img_19HTW2CFTF9EER79XFCCB016S3;;;;;;;Yes; Haruharu Essence ;;;Yes;45;business;2203cec0-89c0-4e28-b771-33229a2d47d1;b1249365-c918-4fb4-998b-b8f120b43732;
 Medipeel Melanonx cream;;;;;;;;;;Yes;27.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;MEDIPEEL;Yes;;https://images.sumup.com/img_7PFDY1GC3Q93ES63E6EF49M6FD;;;;;;;Yes; Medipeel Melanonx cream;;;Yes;45;business;caeffe5b-1cba-4b53-9729-ac286698c6ba;af2800df-8800-4e28-9347-69bb7391294e;
 Nuture Boost et glow vitamine C;;;;;;;;;;Yes;26.99;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;Nuture;Yes;Pink;https://images.sumup.com/img_56YV5WY0W680BSCFSD5TNYHKGN;;;;;;;Yes; Nuture Boost et glow vitamine C;;;Yes;45;business;7b8b123b-ef45-4ad4-8a43-b269d65eda3c;0b9b5443-6f81-4c3e-b2c3-6b3931437fa8;
 Skin 1004 Masque probio cica ;;;;;;;;;;Yes;4.99;;No;20.00;No;;No;;;each.each;Yes;15;0;;;;;SKIN 1004;Yes;;https://images.sumup.com/img_3R0KAV0P8S98F9589MZQSTQJDM;;;;;;;Yes; Skin 1004 Masque probio cica ;;;Yes;45;business;8df0d029-1549-4614-b9e5-1ef2bb4ee9cc;351c4071-81fe-47e6-a6d4-6627737566e9;
A'pieu glycolic Acid Cream;;;;;;;;;;Yes;18.00;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;A'pieu;Yes;Dark blue;https://images.sumup.com/img_1FCGP156SA9Z3V196EJ4MFV2VB;;;;;;;Yes;A'pieu glycolic Acid Cream;;;Yes;45;business;10c78c8a-8890-40da-b82c-62efd644740a;5b0251d6-f2e2-4e9c-b1bb-a753876cd315;
